canal_itc,dispositivo_itc,transaccion_itc,respuesta_itc,descripcion_trx_banco,descripcion_respuesta_banco
SVP,BLP,346,0,Pago De Prestamos,Transacción Exitosa
APP,APP,6010,30,Transferencias Cuenta Bancolombia (Ahorros/Corriente) A Cuenta Bancolombia (Ahorros/Corriente) Pago Qr,Fondos insuficientes en la cuenta para realizar la transferencia
APP,APP,2021,104,Transferencia de QR,Error realizando movimiento en el TEF
APP,APP,538,706,Transferencia De Fondos Desde Cuenta De Ahorros,Supera Numero De Operaciones Personalizadas
SVP,BLP,538,0,Transferencia De Fondos Desde Cuenta De Ahorros,Transacción Exitosa
APP,APP,538,600,Transferencia De Fondos Desde Cuenta De Ahorros,El Cliente Ya Posee Segunda Clave
APP,APP,538,31,Transferencia De Fondos Desde Cuenta De Ahorros,Cuenta Destino Tiene Bloqueos
APP,APP,6012,30,Transferencia Cuenta Bancolombia (Ahorros/Corriente) A Cuenta Nequi Pago Qr,Disponible Insuficiente En Cuenta A Debitar
SVP,PSE,522,34,Compra Pse Desde Cuenta De Ahorros,Valor Por Encima De Tope Diario De Transferencia
SVP,BLP,549,410,Transferencia Desde Inversion Fiduciaria A Cuenta De Ahorros,Fid: Monto De Retiro Superior Al Tope Mßxim
APP,APP,1638,41,Transferencia a Nequi sin inscripción ,Error al procesar la transacción.
SVP,BLP,531,706,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Supera Numero De Operaciones Personalizadas
APP,APP,431,0,Pago De Facturas Recaudo Referenciado Desde Cuenta Corriente,Transacción Exitosa
APP,APP,638,0,Transferencia A Otros Bancos,Transacción Exitosa
SVP,BLP,1538,999,Transferencias Cuenta Nequi,Respuesta No Conocida
SVP,BLP,438,690,Transferencia De Fondos Desde Cuenta Corriente,Transaccion No Permitida
APP,APP,529,46,Pago De Tarjeta De Credito Desde Cuenta De Ahorros,"Pago No Realizado, Por Favor Intente Mas Tarde"
APP,APP,1638,999,Transferencia a Nequi sin inscripción ,No Exitosa
APP,APP,2021,601,Transferencia de QR,"No fue posible finalizar la transacción. Verifique su saldo antes de realizarla nuevamente. Si tiene alguna inquietud, comuníquese con nuestra Sucursal Telefónica."
SVP,BLP,439,0,Transferencia De Fondos Desde Cuenta Corriente A Inversion Fiduciaria,Transacción Exitosa
APP,APP,1612,0,Aceptar Solicitud,Transaccion Exitosa
SVP,BLP,638,34,Transferencia A Otros Bancos,Valor Por Encima De Tope Diario De Transferencia
APP,APP,1638,30,Transferencia a Nequi sin inscripción ,Disponible Insuficiente En Cuenta A Debitar
APP,APP,2021,0,Transferencia de QR,Transacción exitosa
